Movement,File,NumColors,AvgR,AvgG,AvgB,Gray0,Gray25,Gray50,Gray75,Gray100,Gray125,Gray150,Gray175,Gray200,Gray225,Red0,Red25,Red50,Red75,Red100,Red125,Red150,Red175,Red200,Red225,Green0,Green25,Green50,Green75,Green100,Green125,Green150,Green175,Green200,Green225,Blue0,Blue25,Blue50,Blue75,Blue100,Blue125,Blue150,Blue175,Blue200,Blue225
Icons,Rublev_Zefania,8853,104,50,63,4,2097,2022,685,496,861,1567,1460,528,280,6,675,1155,840,907,1047,597,639,1119,3015,28,3302,1179,512,522,1143,1514,1054,462,284,526,4587,3055,865,321,191,173,125,96,61
Modernism,Kandinskii_BezNazvaniya2,9704,102,137,177,0,328,1441,1803,1172,956,990,1103,848,1359,1,305,972,937,872,1027,1099,1223,1324,2240,0,687,1823,1453,947,895,1038,964,818,1375,46,992,2001,1564,1221,1142,941,742,541,810
Modernism,Kandinskii_BezNazvaniya3,9436,91,94,103,476,1320,1600,1546,1395,973,1114,1154,345,77,687,1625,1384,1212,1111,651,471,610,1402,847,507,1335,1539,1578,1454,1229,1022,1018,226,92,424,1305,1593,1410,1656,1528,932,784,359,9
Modernism,Kandinskii_BezNazvaniya,8665,213,143,58,2156,1048,1717,1913,1649,1316,148,53,0,0,1188,1084,711,807,1254,1807,1941,1059,149,0,2421,1219,2122,1375,1844,848,118,53,0,0,4828,3463,1165,178,163,141,62,0,0,0
Modernism,Kandinskii_DenVsekhSvyatikh,9874,36,103,148,50,438,1060,1678,1923,1857,1427,860,573,134,634,1247,1262,1368,1443,1439,1172,907,472,56,33,387,982,1442,1790,1883,1576,1012,681,214,173,926,1446,1545,1446,1709,1274,777,449,255
Modernism,Kandinskii_DomaBMurnau,9241,50,70,33,489,3110,1027,925,1398,2183,786,76,6,0,2209,1204,881,629,637,999,1658,1596,184,3,655,2940,1029,990,1365,2038,869,109,5,0,2662,4806,1562,476,253,116,85,37,3,0
Modernism,Kandinskii_Improvizatsiya,9613,228,211,203,1,578,1578,1612,1615,1709,2167,708,32,0,2,360,1253,1309,1186,1345,1728,2039,732,46,15,852,1648,1565,1534,1726,2037,599,24,0,54,906,1839,2047,2086,1990,868,206,4,0
Modernism,Kandinskii_KartinaSBeloyKaymoy,9494,204,207,186,0,649,1637,1294,1309,1499,1558,1175,813,66,0,446,1280,1173,1204,1159,1503,1394,1327,514,3,831,1636,1265,1247,1451,1571,1170,761,65,127,1820,1753,1468,1493,1284,958,879,218,0
Modernism,Kandinskii_KladbishcheIDomPastoraVKokhele,9092,65,76,72,0,402,1251,1629,1289,1796,2038,1584,11,0,0,333,1479,1358,975,1625,1357,1666,1204,3,0,481,1371,1683,1290,1817,1889,1460,9,0,1,235,760,1552,2268,1931,2307,944,2,0
Modernism,Kandinskii_Luchnik,8583,249,251,250,753,1879,1815,1999,1652,364,229,300,413,596,723,1547,1876,2218,1005,349,338,435,644,865,785,1837,1901,2143,1282,501,231,314,384,622,1600,3093,2812,786,480,182,151,259,429,208
Modernism,Kandinskii_MoskvaKrasnayaPloshchad,9528,69,50,44,0,762,1983,1720,1579,1272,1199,1078,390,17,0,520,1844,1506,1214,1121,1019,1167,1046,563,5,952,2009,1812,1452,1249,1200,960,346,15,97,1272,2033,1804,1608,1566,1152,410,57,1
Modernism,Kandinskii_OseniiPeysazhSLodkami,9496,55,122,89,1127,2389,2557,1161,900,681,430,420,293,42,2511,2419,1085,826,549,460,381,345,532,892,1182,2603,2501,1048,789,706,488,341,252,90,1360,1786,1861,1751,1304,1273,493,127,32,13
Modernism,Kandinskii_PeysazhSDozhdem,9723,39,38,54,599,895,1298,1127,864,906,1308,1401,1339,263,539,985,1039,928,903,1121,1257,1577,1411,240,679,950,1318,1006,809,843,1176,1366,1372,481,1240,1308,1255,1128,929,1100,1163,1019,752,106
Modernism,Kandinskii_SiniiGreben,9518,47,17,27,446,1839,1420,1532,1460,1595,1348,358,2,0,410,1761,1427,1372,1399,1390,1370,790,80,1,588,1833,1391,1473,1405,1649,1300,358,3,0,446,1578,1662,1704,1779,1618,985,216,12,0
Modernism,Kandinskii_SpalnyaVAynmillerstrasse,9513,205,176,100,922,973,1630,1305,1171,1325,1412,1074,159,29,715,1085,1852,1046,737,654,905,1141,757,1108,1039,946,1289,1634,1328,1253,1081,1086,306,38,2379,3382,1521,1007,745,569,218,97,58,24
Modernism,Kandinskii_SvyatoyGeorgii,9708,42,81,78,9,347,966,1847,2034,2103,1505,880,254,55,334,718,1272,1706,1911,1591,1271,779,326,92,11,261,921,1617,2056,1864,1703,1061,414,92,79,668,1928,2820,2480,1490,445,83,7,0
Modernism,Kandinskii_Utverzhdenie,6363,96,97,101,2429,840,1475,1775,656,639,684,1489,13,0,2473,754,1620,1727,575,461,450,1351,589,0,2449,810,1319,1863,716,703,664,1468,8,0,2577,1632,1547,980,647,617,820,1180,0,0
